STATION,STATION_NAME,ELEVATION,LATITUDE,LONGITUDE,DATE,HPCP,Measurement Flag,Quality Flag
COOP:083186,FORT MYERS PAGE FIELD AIRPORT FL US,4.6,26.58639,-81.86361,19990701 01:00,0.00,g, 
COOP:083186,FORT MYERS PAGE FIELD AIRPORT FL US,4.6,26.58639,-81.86361,19990701 02:00,999.99,{, 
COOP:083186,FORT MYERS PAGE FIELD AIRPORT FL US,4.6,26.58639,-81.86361,19990801 00:00,999.99,}, 
COOP:083186,FORT MYERS PAGE FIELD AIRPORT FL US,4.6,26.58639,-81.86361,19990801 01:00,999.99,{, 
COOP:083186,FORT MYERS PAGE FIELD AIRPORT FL US,4.6,26.58639,-81.86361,19990901 00:00,999.99,}, 
COOP:083186,FORT MYERS PAGE FIELD AIRPORT FL US,4.6,26.58639,-81.86361,19990901 01:00,999.99,{, 
COOP:083186,FORT MYERS PAGE FIELD AIRPORT FL US,4.6,26.58639,-81.86361,19990902 12:00,999.99,}, 
COOP:083186,FORT MYERS PAGE FIELD AIRPORT FL US,4.6,26.58639,-81.86361,19990902 13:00,999.99,{, 
COOP:083186,FORT MYERS PAGE FIELD AIRPORT FL US,4.6,26.58639,-81.86361,19990930 23:00,999.99,}, 
COOP:083186,FORT MYERS PAGE FIELD AIRPORT FL US,4.6,26.58639,-81.86361,19991001 01:00,999.99,{, 
COOP:083186,FORT MYERS PAGE FIELD AIRPORT FL US,4.6,26.58639,-81.86361,19991101 00:00,999.99,}, 
COOP:083186,FORT MYERS PAGE FIELD AIRPORT FL US,4.6,26.58639,-81.86361,19991101 01:00,999.99,{, 
COOP:083186,FORT MYERS PAGE FIELD AIRPORT FL US,4.6,26.58639,-81.86361,19991201 00:00,999.99,}, 
COOP:083186,FORT MYERS PAGE FIELD AIRPORT FL US,4.6,26.58639,-81.86361,19991201 01:00,999.99,{, 
COOP:083186,FORT MYERS PAGE FIELD AIRPORT FL US,4.6,26.58639,-81.86361,19991201 15:00,999.99,}, 
COOP:083186,FORT MYERS PAGE FIELD AIRPORT FL US,4.6,26.58639,-81.86361,19991201 16:00,999.99,{, 
COOP:083186,FORT MYERS PAGE FIELD AIRPORT FL US,4.6,26.58639,-81.86361,20000101 00:00,999.99,}, 
COOP:083186,FORT MYERS PAGE FIELD AIRPORT FL US,4.6,26.58639,-81.86361,20000101 01:00,0.00,g, 
COOP:083186,FORT MYERS PAGE FIELD AIRPORT FL US,4.6,26.58639,-81.86361,20000106 21:00,0.10, , 
COOP:083186,FORT MYERS PAGE FIELD AIRPORT FL US,4.6,26.58639,-81.86361,20000107 08:00,0.10, , 
COOP:083186,FORT MYERS PAGE FIELD AIRPORT FL US,4.6,26.58639,-81.86361,20000124 03:00,0.40, , 
COOP:083186,FORT MYERS PAGE FIELD AIRPORT FL US,4.6,26.58639,-81.86361,20000124 04:00,0.80, , 
COOP:083186,FORT MYERS PAGE FIELD AIRPORT FL US,4.6,26.58639,-81.86361,20000125 11:00,0.10, , 
COOP:083186,FORT MYERS PAGE FIELD AIRPORT FL US,4.6,26.58639,-81.86361,20000201 01:00,0.00,g, 
COOP:083186,FORT MYERS PAGE FIELD AIRPORT FL US,4.6,26.58639,-81.86361,20000215 01:00,999.99,a, 
COOP:083186,FORT MYERS PAGE FIELD AIRPORT FL US,4.6,26.58639,-81.86361,20000215 12:00,0.10,A, 
COOP:083186,FORT MYERS PAGE FIELD AIRPORT FL US,4.6,26.58639,-81.86361,20000301 01:00,0.00,g, 
COOP:083186,FORT MYERS PAGE FIELD AIRPORT FL US,4.6,26.58639,-81.86361,20000301 15:00,999.99,{, 
COOP:083186,FORT MYERS PAGE FIELD AIRPORT FL US,4.6,26.58639,-81.86361,20000303 14:00,999.99,}, 
COOP:083186,FORT MYERS PAGE FIELD AIRPORT FL US,4.6,26.58639,-81.86361,20000303 15:00,999.99,{, 
COOP:083186,FORT MYERS PAGE FIELD AIRPORT FL US,4.6,26.58639,-81.86361,20000401 00:00,999.99,}, 
COOP:083186,FORT MYERS PAGE FIELD AIRPORT FL US,4.6,26.58639,-81.86361,20000401 01:00,0.00,g, 
COOP:083186,FORT MYERS PAGE FIELD AIRPORT FL US,4.6,26.58639,-81.86361,20000401 16:00,999.99,{, 
COOP:083186,FORT MYERS PAGE FIELD AIRPORT FL US,4.6,26.58639,-81.86361,20000501 00:00,999.99,}, 
COOP:083186,FORT MYERS PAGE FIELD AIRPORT FL US,4.6,26.58639,-81.86361,20000501 01:00,999.99,{, 
COOP:083186,FORT MYERS PAGE FIELD AIRPORT FL US,4.6,26.58639,-81.86361,20000501 13:00,999.99,}, 
COOP:083186,FORT MYERS PAGE FIELD AIRPORT FL US,4.6,26.58639,-81.86361,20000503 14:00,0.10, , 
COOP:083186,FORT MYERS PAGE FIELD AIRPORT FL US,4.6,26.58639,-81.86361,20000503 17:00,0.40, , 
